,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,GradientBoostingClassifier,av,0.1966955153422502,0.15263571990558616,0.8670338316286389,0.8624089452543834,0.8670338316286389,0.8628054070664513,0.7889498432601881,0.6025892603668079,0.6655110481997124
1,GradientBoostingClassifier,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
2,GradientBoostingClassifier,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
3,GradientBoostingClassifier,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
4,GradientBoostingClassifier,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
5,GradientBoostingClassifier,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
6,GradientBoostingClassifier,i,0.36929133858267715,0.2511811023622047,0.8078740157480315,0.8203636228556577,0.8078740157480315,0.8042122916468853,0.8169086118064101,0.7873524413210234,0.7927022804156644
7,GradientBoostingClassifier,a,0.1814611154752553,0.15946582875098192,0.8515318146111548,0.8585863121968744,0.8515318146111548,0.8423189163856487,0.9085405493255322,0.5886539563768746,0.6164763061968408
